run_number,timestamp_ms,state,voltage,yaw,pitch,roll,pitchIn,pitchOut,pitchSetpt,rollIn,rollOut,rollSetpt,yawIn,yawOut,yawSetpt,motorTL,motorTR,motorBL,motorBR
1,9953,0,11.82,178.282,0.763,1.451,0.7633,0.0484,2.0000,1.4507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0716,0.0716,0.1684,0.1684
1,9964,0,11.91,178.302,0.727,1.346,0.7265,0.0494,2.0000,1.3462,-0.0435,0.0000,0.0000,0.0000,0.0000,0.1141,0.0271,0.1259,0.2129
1,9983,0,11.90,178.294,0.690,1.207,0.6895,0.0502,2.0000,1.2069,-0.0404,0.0000,0.0000,0.0000,0.0000,0.1102,0.0294,0.1298,0.2106
1,10003,0,11.89,178.278,0.652,1.060,0.6525,0.0528,2.0000,1.0605,-0.0362,0.0000,0.0000,0.0000,0.0000,0.1034,0.0310,0.1366,0.2090
1,10023,0,11.88,178.285,0.644,0.956,0.6439,0.0547,2.0000,0.9557,-0.0318,0.0000,0.0000,0.0000,0.0000,0.0971,0.0335,0.1429,0.2065
1,10044,0,11.91,178.278,0.678,0.913,0.6783,0.0562,2.0000,0.9132,-0.0287,0.0000,0.0000,0.0000,0.0000,0.0924,0.0351,0.1476,0.2049
1,10063,0,11.87,178.272,0.763,0.954,0.7629,0.0545,2.0000,0.9539,-0.0286,0.0000,0.0000,0.0000,0.0000,0.0941,0.0369,0.1459,0.2031
1,10084,0,11.78,178.259,0.876,1.050,0.8764,0.0512,2.0000,1.0499,-0.0315,0.0000,0.0000,0.0000,0.0000,0.1003,0.0373,0.1397,0.2027
1,10103,0,11.82,178.247,0.976,1.146,0.9759,0.0449,2.0000,1.1462,-0.0315,0.0000,0.0000,0.0000,0.0000,0.1066,0.0436,0.1334,0.1964
1,10124,0,11.87,178.234,1.019,1.180,1.0186,0.0400,2.0000,1.1804,-0.0344,0.0000,0.0000,0.0000,0.0000,0.1143,0.0456,0.1257,0.1944
1,10143,0,11.82,178.227,1.018,1.152,1.0182,0.0383,2.0000,1.1524,-0.0354,0.0000,0.0000,0.0000,0.0000,0.1171,0.0463,0.1229,0.1937
1,10164,0,11.89,178.226,0.989,1.097,0.9894,0.0382,2.0000,1.0969,-0.0346,0.0000,0.0000,0.0000,0.0000,0.1164,0.0472,0.1236,0.1928
1,10184,0,11.87,178.225,0.940,1.049,0.9396,0.0404,2.0000,1.0487,-0.0329,0.0000,0.0000,0.0000,0.0000,0.1125,0.0467,0.1275,0.1933
1,10204,0,11.90,178.224,0.883,1.008,0.8830,0.0422,2.0000,1.0076,-0.0315,0.0000,0.0000,0.0000,0.0000,0.1092,0.0463,0.1308,0.1937
1,10224,0,11.89,178.216,0.826,0.959,0.8264,0.0436,2.0000,0.9595,-0.0302,0.0000,0.0000,0.0000,0.0000,0.1066,0.0462,0.1334,0.1938
1,10244,0,11.84,178.222,0.763,0.919,0.7627,0.0470,2.0000,0.9185,-0.0288,0.0000,0.0000,0.0000,0.0000,0.1018,0.0442,0.1382,0.1958
1,10264,0,11.70,178.250,0.720,0.870,0.7198,0.0505,2.0000,0.8704,-0.0276,0.0000,0.0000,0.0000,0.0000,0.0970,0.0419,0.1430,0.1981
1,10284,0,11.82,178.256,0.698,0.829,0.6981,0.0512,2.0000,0.8288,-0.0261,0.0000,0.0000,0.0000,0.0000,0.0949,0.0427,0.1451,0.1973
1,10304,0,11.82,178.235,0.691,0.843,0.6915,0.0518,2.0000,0.8428,-0.0249,0.0000,0.0000,0.0000,0.0000,0.0931,0.0434,0.1469,0.1966
1,10324,0,11.85,178.215,0.672,0.913,0.6718,0.0525,2.0000,0.9129,-0.0253,0.0000,0.0000,0.0000,0.0000,0.0928,0.0423,0.1472,0.1977
1,10344,0,11.84,178.215,0.680,1.011,0.6803,0.0544,2.0000,1.0107,-0.0274,0.0000,0.0000,0.0000,0.0000,0.0930,0.0383,0.1470,0.2017
1,10364,0,11.80,178.230,0.696,1.122,0.6959,0.0525,2.0000,1.1225,-0.0303,0.0000,0.0000,0.0000,0.0000,0.0978,0.0372,0.1422,0.2028
1,10384,0,11.85,178.238,0.725,1.206,0.7251,0.0537,2.0000,1.2060,-0.0337,0.0000,0.0000,0.0000,0.0000,0.1000,0.0326,0.1400,0.2074
1,10404,0,11.88,178.225,0.775,1.268,0.7752,0.0517,2.0000,1.2680,-0.0362,0.0000,0.0000,0.0000,0.0000,0.1045,0.0321,0.1355,0.2079
1,10424,0,11.83,178.212,0.832,1.295,0.8317,0.0499,2.0000,1.2953,-0.0380,0.0000,0.0000,0.0000,0.0000,0.1082,0.0321,0.1318,0.2079
1,10444,0,11.87,178.205,0.881,1.287,0.8806,0.0468,2.0000,1.2874,-0.0389,0.0000,0.0000,0.0000,0.0000,0.1121,0.0344,0.1279,0.2056
1,10464,0,11.89,178.205,0.908,1.259,0.9081,0.0440,2.0000,1.2590,-0.0386,0.0000,0.0000,0.0000,0.0000,0.1146,0.0374,0.1254,0.2026
1,10484,0,11.88,178.198,0.921,1.210,0.9215,0.0445,2.0000,1.2096,-0.0378,0.0000,0.0000,0.0000,0.0000,0.1133,0.0377,0.1267,0.2023
1,10504,0,11.87,178.191,0.948,1.132,0.9483,0.0429,2.0000,1.1322,-0.0363,0.0000,0.0000,0.0000,0.0000,0.1134,0.0409,0.1266,0.1991
1,10524,0,11.85,178.183,0.933,1.069,0.9334,0.0411,2.0000,1.0694,-0.0340,0.0000,0.0000,0.0000,0.0000,0.1129,0.0449,0.1271,0.1951
1,10544,0,11.83,178.176,0.912,1.035,0.9119,0.0430,2.0000,1.0347,-0.0321,0.0000,0.0000,0.0000,0.0000,0.1091,0.0450,0.1309,0.1950
1,10564,0,11.84,178.190,0.932,1.007,0.9323,0.0451,2.0000,1.0065,-0.0310,0.0000,0.0000,0.0000,0.0000,0.1060,0.0439,0.1340,0.1961
1,10584,0,11.76,178.197,0.968,1.034,0.9677,0.0426,2.0000,1.0340,-0.0302,0.0000,0.0000,0.0000,0.0000,0.1076,0.0472,0.1324,0.1928
1,10604,0,11.81,178.191,1.010,1.075,1.0103,0.0426,2.0000,1.0752,-0.0310,0.0000,0.0000,0.0000,0.0000,0.1084,0.0464,0.1316,0.1936
1,10624,0,11.84,178.177,1.046,1.110,1.0459,0.0385,2.0000,1.1097,-0.0323,0.0000,0.0000,0.0000,0.0000,0.1138,0.0492,0.1262,0.1908
1,10644,0,11.77,178.157,1.033,1.166,1.0331,0.0374,2.0000,1.1657,-0.0333,0.0000,0.0000,0.0000,0.0000,0.1158,0.0493,0.1242,0.1907
1,10664,0,11.85,178.150,1.012,1.180,1.0124,0.0387,2.0000,1.1799,-0.0350,0.0000,0.0000,0.0000,0.0000,0.1162,0.0463,0.1238,0.1937
1,10684,0,11.88,178.135,0.957,1.188,0.9567,0.0386,2.0000,1.1877,-0.0354,0.0000,0.0000,0.0000,0.0000,0.1168,0.0460,0.1232,0.1940
1,10704,0,11.85,178.134,0.914,1.139,0.9139,0.0414,2.0000,1.1395,-0.0356,0.0000,0.0000,0.0000,0.0000,0.1142,0.0429,0.1258,0.1971
1,10724,0,11.89,178.134,0.864,1.105,0.8645,0.0434,2.0000,1.1051,-0.0342,0.0000,0.0000,0.0000,0.0000,0.1108,0.0424,0.1292,0.1976
1,10744,0,11.81,178.148,0.871,1.105,0.8713,0.0467,2.0000,1.1051,-0.0332,0.0000,0.0000,0.0000,0.0000,0.1064,0.0401,0.1336,0.1999
1,10764,0,11.80,178.149,0.900,1.161,0.9002,0.0460,2.0000,1.1606,-0.0332,0.0000,0.0000,0.0000,0.0000,0.1071,0.0408,0.1329,0.1992
1,10784,0,11.87,178.143,0.972,1.243,0.9715,0.0456,2.0000,1.2435,-0.0348,0.0000,0.0000,0.0000,0.0000,0.1092,0.0396,0.1308,0.2004
1,10804,0,11.81,178.096,1.086,1.353,1.0858,0.0436,2.0000,1.3530,-0.0373,0.0000,0.0000,0.0000,0.0000,0.1137,0.0391,0.1263,0.2009
1,10824,0,11.83,178.044,1.306,1.489,1.3056,0.0397,2.0000,1.4888,-0.0406,0.0000,0.0000,0.0000,0.0000,0.1208,0.0397,0.1192,0.2003
1,10845,0,11.87,177.992,1.477,1.639,1.4769,0.0269,2.0000,1.6393,-0.0447,0.0000,0.0000,0.0000,0.0000,0.1378,0.0485,0.1022,0.1915
1,10864,0,11.87,177.988,1.570,1.749,1.5699,0.0202,2.0000,1.7494,-0.0525,0.0000,0.0000,0.0000,0.0000,0.1523,0.0473,0.0877,0.1927
1,10884,0,11.80,177.983,1.593,1.854,1.5929,0.0166,2.0000,1.8538,-0.0556,0.0000,0.0000,0.0000,0.0000,0.1590,0.0478,0.0810,0.1922
1,10904,0,11.84,177.983,1.586,1.889,1.5865,0.0153,2.0000,1.8889,-0.0567,0.0000,0.0000,0.0000,0.0000,0.1614,0.0480,0.0786,0.1920
1,10925,0,11.87,177.976,1.538,1.904,1.5379,0.0148,2.0000,1.9036,-0.0571,0.0000,0.0000,0.0000,0.0000,0.1623,0.0481,0.0777,0.1919
1,10944,0,11.85,177.981,1.446,1.863,1.4461,0.0176,2.0000,1.8634,-0.0571,0.0000,0.0000,0.0000,0.0000,0.1595,0.0453,0.0805,0.1947
1,10964,0,11.85,177.979,1.382,1.823,1.3824,0.0234,2.0000,1.8226,-0.0559,0.0000,0.0000,0.0000,0.0000,0.1525,0.0407,0.0875,0.1993
1,10984,0,11.85,177.979,1.348,1.837,1.3477,0.0249,2.0000,1.8372,-0.0547,0.0000,0.0000,0.0000,0.0000,0.1498,0.0405,0.0902,0.1995
1,11005,0,11.87,177.979,1.362,1.830,1.3616,0.0271,2.0000,1.8300,-0.0551,0.0000,0.0000,0.0000,0.0000,0.1480,0.0378,0.0920,0.2022
1,11024,0,11.85,177.980,1.390,1.871,1.3903,0.0269,2.0000,1.8714,-0.0561,0.0000,0.0000,0.0000,0.0000,0.1493,0.0370,0.0907,0.2030
1,11045,0,11.84,177.974,1.447,1.905,1.4470,0.0238,2.0000,1.9053,-0.0572,0.0000,0.0000,0.0000,0.0000,0.1534,0.0390,0.0866,0.2010
1,11064,0,11.85,177.968,1.468,1.919,1.4683,0.0227,2.0000,1.9188,-0.0572,0.0000,0.0000,0.0000,0.0000,0.1544,0.0401,0.0856,0.1999
1,11085,0,11.85,177.968,1.475,1.905,1.4751,0.0209,2.0000,1.9047,-0.0576,0.0000,0.0000,0.0000,0.0000,0.1567,0.0416,0.0833,0.1984
1,11105,0,11.86,177.975,1.468,1.898,1.4678,0.0220,2.0000,1.8979,-0.0571,0.0000,0.0000,0.0000,0.0000,0.1552,0.0409,0.0848,0.1991
1,11125,0,11.80,177.974,1.447,1.919,1.4472,0.0198,2.0000,1.9193,-0.0569,0.0000,0.0000,0.0000,0.0000,0.1572,0.0433,0.0828,0.1967
1,11145,0,11.87,177.981,1.412,1.920,1.4121,0.0214,2.0000,1.9200,-0.0576,0.0000,0.0000,0.0000,0.0000,0.1562,0.0410,0.0838,0.1990
1,11165,0,11.81,177.980,1.349,1.900,1.3488,0.0228,2.0000,1.9001,-0.0576,0.0000,0.0000,0.0000,0.0000,0.1548,0.0396,0.0852,0.2004
1,11185,0,11.88,177.978,1.291,1.824,1.2915,0.0246,2.0000,1.8242,-0.0570,0.0000,0.0000,0.0000,0.0000,0.1524,0.0383,0.0876,0.2017
1,11205,0,11.79,177.983,1.206,1.742,1.2060,0.0278,2.0000,1.7416,-0.0547,0.0000,0.0000,0.0000,0.0000,0.1469,0.0374,0.0931,0.2026
1,11225,0,11.83,178.002,1.121,1.687,1.1208,0.0304,2.0000,1.6874,-0.0522,0.0000,0.0000,0.0000,0.0000,0.1419,0.0374,0.0981,0.2026
1,11245,0,11.88,178.007,1.050,1.661,1.0503,0.0347,2.0000,1.6607,-0.0506,0.0000,0.0000,0.0000,0.0000,0.1359,0.0346,0.1041,0.2054
1,11265,0,11.83,178.000,0.995,1.683,0.9948,0.0392,2.0000,1.6826,-0.0498,0.0000,0.0000,0.0000,0.0000,0.1306,0.0310,0.1094,0.2090
1,11285,0,11.78,177.994,1.017,1.724,1.0166,0.0409,2.0000,1.7241,-0.0505,0.0000,0.0000,0.0000,0.0000,0.1296,0.0286,0.1104,0.2114
1,11305,0,11.87,177.995,1.067,1.800,1.0670,0.0408,2.0000,1.8001,-0.0517,0.0000,0.0000,0.0000,0.0000,0.1309,0.0275,0.1091,0.2125
1,11325,0,11.84,177.990,1.145,1.876,1.1453,0.0380,2.0000,1.8759,-0.0540,0.0000,0.0000,0.0000,0.0000,0.1360,0.0280,0.1040,0.2120
1,11345,0,11.82,177.985,1.251,1.930,1.2513,0.0369,2.0000,1.9299,-0.0563,0.0000,0.0000,0.0000,0.0000,0.1394,0.0268,0.1006,0.2132
1,11365,0,11.85,177.988,1.378,1.970,1.3779,0.0304,2.0000,1.9696,-0.0579,0.0000,0.0000,0.0000,0.0000,0.1475,0.0317,0.0925,0.2083
1,11385,0,11.88,177.990,1.511,1.981,1.5110,0.0262,2.0000,1.9812,-0.0591,0.0000,0.0000,0.0000,0.0000,0.1529,0.0348,0.0871,0.2052
1,11405,0,11.83,177.985,1.623,2.007,1.6235,0.0211,2.0000,2.0075,-0.0594,0.0000,0.0000,0.0000,0.0000,0.1583,0.0395,0.0817,0.2005
1,11425,1,11.83,177.988,1.750,2.019,1.7496,0.0151,2.0000,2.0192,0.0000,0.0000,-0.0025,0.0001,0.0000,0.1181,0.1181,0.1218,0.1217
1,11445,1,11.77,177.990,1.862,2.017,1.8615,0.0106,2.0000,2.0172,-0.0606,0.0000,-0.0045,0.0001,0.0000,0.1519,0.1331,0.1364,0.1552
1,11465,1,11.85,177.991,1.939,2.037,1.9387,0.0049,2.0000,2.0372,-0.0605,0.0000,-0.0059,0.0001,0.0000,0.1886,0.1655,0.1674,0.1904
1,11485,1,11.87,177.992,1.974,2.051,1.9740,0.0015,2.0000,2.0505,-0.0611,0.0000,-0.0067,0.0001,0.0000,0.2250,0.1974,0.1981,0.2256
1,11505,1,11.82,177.993,1.982,2.085,1.9816,0.0023,2.0000,2.0854,-0.0615,0.0000,-0.0075,0.0002,0.0000,0.2597,0.2275,0.2288,0.2608
1,11525,1,11.84,177.994,2.017,2.092,2.0167,0.0002,2.0000,2.0917,-0.0626,0.0000,-0.0083,0.0002,0.0000,0.2960,0.2588,0.2591,0.2960
1,11545,1,11.83,177.995,2.045,2.105,2.0449,0.0002,2.0000,2.1052,-0.0628,0.0000,-0.0091,0.0002,0.0000,0.3312,0.2895,0.2898,0.3312
1,11565,1,11.76,177.989,2.088,2.132,2.0875,-0.0016,2.0000,2.1323,-0.0632,0.0000,-0.0034,0.0001,0.0000,0.3664,0.3201,0.3189,0.3652
1,11585,1,11.75,177.977,2.144,2.180,2.1445,-0.0015,2.0000,2.1803,-0.0640,0.0000,0.0089,-0.0002,0.0000,0.4016,0.3504,0.3490,0.4005
1,11605,1,11.83,177.966,2.230,2.262,2.2302,-0.0047,2.0000,2.2624,-0.0654,0.0000,0.0196,-0.0004,0.0000,0.4368,0.3800,0.3755,0.4330
1,11625,1,11.70,177.977,2.316,2.401,2.3164,-0.0084,2.0000,2.4013,-0.0679,0.0000,0.0083,-0.0002,0.0000,0.4720,0.4081,0.4000,0.4642
1,11646,1,11.81,177.987,2.408,2.463,2.4084,-0.0130,2.0000,2.4627,-0.0720,0.0000,-0.0020,0.0000,0.0000,0.5090,0.4356,0.4224,0.4957
1,11665,1,11.82,177.984,2.514,2.524,2.5144,-0.0163,2.0000,2.5240,-0.0757,0.0000,0.0016,0.0000,0.0000,0.5424,0.4602,0.4425,0.5246
1,11685,1,11.78,177.980,2.586,2.592,2.5858,-0.0211,2.0000,2.5925,-0.0778,0.0000,0.0053,-0.0000,0.0000,0.5776,0.4878,0.4634,0.5533
1,11705,1,11.75,177.983,2.622,2.669,2.6222,-0.0250,2.0000,2.6687,-0.0801,0.0000,0.0027,-0.0001,0.0000,0.6128,0.5148,0.4840,0.5823
1,11726,1,11.82,177.983,2.637,2.697,2.6366,-0.0248,2.0000,2.6969,-0.0809,0.0000,0.0020,-0.0001,0.0000,0.6498,0.5447,0.5124,0.6176
1,11745,1,11.76,177.992,2.665,2.732,2.6650,-0.0244,2.0000,2.7315,-0.0809,0.0000,-0.0065,-0.0000,0.0000,0.6832,0.5727,0.5394,0.6500
1,11765,1,11.75,177.994,2.735,2.758,2.7355,-0.0239,2.0000,2.7582,-0.0819,0.0000,-0.0089,0.0001,0.0000,0.7184,0.6005,0.5663,0.6838
1,11785,1,11.78,177.990,2.813,2.799,2.8132,-0.0276,2.0000,2.7991,-0.0827,0.0000,-0.0045,0.0002,0.0000,0.7536,0.6286,0.5873,0.7117
1,11806,1,11.82,177.978,2.856,2.833,2.8562,-0.0350,2.0000,2.8329,-0.0840,0.0000,0.0075,0.0001,0.0000,0.7906,0.6576,0.6024,0.7350
1,11825,1,11.76,177.994,2.884,2.868,2.8845,-0.0318,2.0000,2.8677,-0.0850,0.0000,-0.0081,-0.0002,0.0000,0.8240,0.6842,0.6315,0.7719
1,11845,1,11.77,178.000,2.891,2.847,2.8909,-0.0373,2.0000,2.8468,-0.0860,0.0000,-0.0147,0.0002,0.0000,0.8592,0.7111,0.6472,0.7948
1,11865,1,11.83,178.000,2.898,2.826,2.8975,-0.0355,2.0000,2.8257,-0.0854,0.0000,-0.0143,0.0003,0.0000,0.8944,0.7411,0.6782,0.8304
